WARN  [2013-11-26 17:55:42,815] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:file:MyFile
ERROR [2013-11-26 18:03:26,800] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:03:26,801] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:03:29,831] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:03:29,831] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:03:32,903] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:03:32,904] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:03:35,951] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:03:35,953] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:03:38,989] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:03:38,990] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:03:42,021] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:03:42,022] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:03:45,075] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
